year,event_code,bib,name,finished,dnf_type,cp_id,cp_name,cp_type,arrival_time,split_label,split_secs,elapsed_str,dwell_secs
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166743,End Maclehose Trail,control,2022-02-02 22:10:00,13:34:00,48840,13:34:00,
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166746,Start Wilson Trail,control,2022-02-02 23:02:00,00:52:00,3120,14:26:00,
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166749,End Wilson Trail,control,2022-02-03 14:19:23,15:17:23,55043,29:43:23,
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166752,Start HK Trail,control,2022-02-03 14:49:15,00:29:52,1792,30:13:15,
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166755,End HK Trail,control,2022-02-03 23:17:44,08:28:29,30509,38:41:44,
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166758,Start Lantau Trail,control,2022-02-04 00:14:27,00:56:43,3403,39:38:27,
2022,22hk4tuc,13,Joseph Yeung Chi Shing 楊志成,True,N/A,166764,Finish,finish,2022-02-04 17:02:21,16:47:54,60474,56:26:21,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166740,Start,start,2022-02-02 08:33:00,,0,00:00:00,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166743,End Maclehose Trail,control,2022-02-02 23:15:20,14:42:20,52940,14:42:20,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166746,Start Wilson Trail,control,2022-02-03 00:37:23,01:22:03,4923,16:04:23,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166749,End Wilson Trail,control,2022-02-03 14:57:27,14:20:04,51604,30:24:27,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166752,Start HK Trail,control,2022-02-03 16:01:56,01:04:29,3869,31:28:56,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166755,End HK Trail,control,2022-02-04 00:56:07,08:54:11,32051,40:23:07,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166758,Start Lantau Trail,control,2022-02-04 06:47:00,05:50:53,21053,46:14:00,
2022,22hk4tuc,12,Richard Kimber,True,N/A,166764,Finish,finish,2022-02-04 18:00:00,11:13:00,40380,57:27:00,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166740,Start,start,2022-02-02 08:18:00,,0,00:00:00,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166743,End Maclehose Trail,control,2022-02-02 23:12:38,14:54:38,53678,14:54:38,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166746,Start Wilson Trail,control,2022-02-02 23:52:16,00:39:38,2378,15:34:16,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166749,End Wilson Trail,control,2022-02-03 15:41:03,15:48:47,56927,31:23:03,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166752,Start HK Trail,control,2022-02-03 16:10:03,00:29:00,1740,31:52:03,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166755,End HK Trail,control,2022-02-04 02:00:02,09:49:59,35399,41:42:02,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166758,Start Lantau Trail,control,2022-02-04 03:36:52,01:36:50,5810,43:18:52,
2022,22hk4tuc,7,Cheung Man Yee 張敏怡,True,N/A,166764,Finish,finish,2022-02-04 18:11:43,14:34:51,52491,57:53:43,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166740,Start,start,2022-02-02 08:30:00,,0,00:00:00,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166743,End Maclehose Trail,control,2022-02-02 23:38:10,15:08:10,54490,15:08:10,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166746,Start Wilson Trail,control,2022-02-03 00:44:35,01:06:25,3985,16:14:35,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166749,End Wilson Trail,control,2022-02-03 19:37:42,18:53:07,67987,35:07:42,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166752,Start HK Trail,control,2022-02-03 20:38:08,01:00:26,3626,36:08:08,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166755,End HK Trail,control,2022-02-04 08:03:46,11:25:38,41138,47:33:46,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166758,Start Lantau Trail,control,2022-02-04 09:28:37,01:24:51,5091,48:58:37,
2022,22hk4tuc,11,Elliot Froidevaux,True,N/A,166764,Finish,finish,2022-02-05 00:14:08,14:45:31,53131,63:44:08,
